WP 1/3 AVOID     X:  +0.4 Y:  +0.0 Z:-1.97 V:+0.17 Vz:-0.03 D:29.6м dZ:+1.03 [ОБХОД:PASS] RPY:-0/+0/-2° Сонар:12.3м | СОНАР[лучи:4 бл:12.3м L∞ R∞ U∞ D∞ dir:C yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:-1° гор:+35/+28° B:49%
WP 1/3 AVOID     X:  +0.4 Y:  +0.0 Z:-1.97 V:+0.17 Vz:-0.02 D:29.6м dZ:+1.03 RPY:-0/-0/-2° Сонар:12.3м | СОНАР[лучи:4 бл:12.3м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+6° гор:+35/+28° B:49%
WP 1/3 AVOID     X:  +0.4 Y:  +0.0 Z:-1.97 V:+0.18 Vz:-0.01 D:29.6м dZ:+1.03 RPY:-0/-1/-2° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+6° гор:+34/+29° B:49%
WP 1/3 AVOID     X:  +0.5 Y:  +0.0 Z:-1.98 V:+0.19 Vz:-0.02 D:29.5м dZ:+1.02 RPY:-0/-1/-2° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+6° гор:+32/+31° B:49%
WP 1/3 AVOID     X:  +0.5 Y:  +0.0 Z:-1.98 V:+0.21 Vz:-0.01 D:29.5м dZ:+1.02 RPY:-0/-1/-2° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+7° гор:+28/+35° B:49%
WP 1/3 AVOID     X:  +0.5 Y:  +0.0 Z:-1.98 V:+0.23 Vz:-0.02 D:29.5м dZ:+1.02 RPY:-0/-1/-1° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+5° гор:+26/+37° B:49%
WP 1/3 AVOID     X:  +0.6 Y:  +0.0 Z:-1.98 V:+0.25 Vz:-0.01 D:29.4м dZ:+1.02 RPY:+0/-1/-2° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+7° гор:+23/+40° B:49%
WP 1/3 AVOID     X:  +0.6 Y:  +0.0 Z:-1.99 V:+0.28 Vz:-0.02 D:29.4м dZ:+1.01 RPY:+0/-0/-2° Сонар:чисто | СОНАР[лучи:0 бл:999.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+8° гор:+23/+40° B:49%
WP 1/3 AVOID     X:  +0.7 Y:  +0.0 Z:-1.99 V:+0.30 Vz:-0.01 D:29.3м dZ:+1.01 RPY:+0/+1/-1° Сонар:12.0м | СОНАР[лучи:4 бл:12.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+8° гор:+24/+39° B:49%
WP 1/3 AVOID     X:  +0.7 Y:  +0.0 Z:-1.99 V:+0.33 Vz:-0.01 D:29.3м dZ:+1.01 RPY:+0/+1/-1° Сонар:12.0м | СОНАР[лучи:3 бл:12.0м L∞ R∞ U∞ D∞ dir:- yaw_av:+0°] | СЕНС[ор:KALMAN mag:-27° дно:-- имю:да сонар:да] | Глубина:БАКИ+РУЛИ (демо) | руль в:+9° гор:+26/+37° B:49%
